tid,date,type,price,amount
18372899,1735264629,sell,595388.72318708,0.00674358
18372900,1735264646,buy,595905.71795191,0.00017322
18372901,1735264667,buy,595905.71795146,0.00002236
18372902,1735264688,sell,595527.09000000,0.00012162
18372903,1735264688,sell,595285.05656510,0.00004534
18372904,1735264689,buy,595809.33766733,0.00017490
18372905,1735264715,sell,595250.16124562,0.00016689
18372906,1735264719,buy,595718.99230671,0.00000839
18372907,1735264727,buy,595718.99230643,0.00000348
18372908,1735264734,buy,595718.99230620,0.00010001
18372909,1735264739,buy,595718.99230604,0.00017327
18372910,1735264751,sell,595250.16164618,0.00016694
18372911,1735264764,sell,595250.16164618,0.00004948
18372912,1735264788,sell,595346.56974390,0.00017494
18372913,1735264796,sell,595346.56974413,0.00016841
18372914,1735264813,buy,595707.27903992,0.00001628
18372915,1735264864,buy,595481.65230937,0.00010422
18372916,1735264878,sell,595457.00985412,0.00043058
18372917,1735264902,buy,596038.36000000,0.00008137
18372918,1735264917,buy,596038.36000000,0.00001057
18372919,1735264933,buy,596038.36000000,0.00057728
18372920,1735264940,buy,596038.36000000,0.00017483
18372921,1735264946,buy,596038.36000000,0.00002268
18372922,1735264961,sell,596038.35999999,0.00100229
18372923,1735264972,buy,596474.86150453,0.00032963
18372924,1735264973,sell,595974.02557495,0.00011925
18372925,1735264979,sell,595574.01020004,0.00016844
18372926,1735264991,buy,596595.99999999,0.00016478
18372927,1735264991,buy,596595.99999999,0.00018437
18372928,1735265007,sell,596288.42064064,0.00016851
18372929,1735265021,buy,596595.99999999,0.00167617
18372930,1735265024,sell,596288.42064115,0.00000178
18372931,1735265026,buy,596595.99999999,0.00000302
18372932,1735265035,sell,596421.82043457,0.00018308
18372933,1735265051,sell,596595.99999999,0.00131568
18372934,1735265062,buy,596596.00000000,0.00017467
18372935,1735265086,buy,596596.00000000,0.00011110
18372936,1735265086,buy,597551.12135066,0.00030038
18372937,1735265092,sell,597073.09260663,0.00016828
18372938,1735265108,sell,597102.42685906,0.01690000
18372939,1735265108,sell,597100.07437009,0.05294871
18372940,1735265108,buy,597545.70041118,0.00013294
18372941,1735265118,sell,596967.66147424,0.00015666
18372942,1735265137,buy,597420.39832969,0.00000274
18372943,1735265145,buy,597420.39832969,0.00012178
18372944,1735265149,sell,596853.02579558,0.00004754
18372945,1735265165,sell,596853.02604576,0.00010850
18372946,1735265166,buy,597420.39832969,0.00017742
18372947,1735265202,buy,597420.39832968,0.00000811
18372948,1735265208,buy,597420.39832953,0.00020776
18372949,1735265211,sell,597042.83057396,0.00004657
18372950,1735265212,sell,597042.83062396,0.00017618
18372951,1735265244,buy,597564.99989996,0.00016617
18372952,1735265270,buy,597565.00000000,0.00006326
18372953,1735265271,buy,597565.00000000,0.00011234
18372954,1735265282,buy,597565.00000000,0.00018408
18372955,1735265283,buy,597565.00000000,0.00465232
18372956,1735265285,buy,597565.00000000,0.09488800
18372957,1735265285,buy,598442.47349388,0.00003946
18372958,1735265311,buy,598442.47344368,0.00007294
18372959,1735265330,buy,598423.67319800,0.00016756
18372960,1735265341,buy,598248.52837371,0.00018076
18372961,1735265342,sell,597772.62826733,0.00015930
18372962,1735265364,buy,598564.48712187,0.00004862
18372963,1735265384,sell,598042.89602975,0.00014261
18372964,1735265403,buy,598055.08543948,0.00065753
18372965,1735265415,buy,598231.90836697,0.00000650
18372966,1735265424,buy,598140.14701009,0.00041503
18372967,1735265448,sell,597421.00000001,0.00017415
18372968,1735265469,sell,597470.35152316,0.00005591
18372969,1735265470,buy,597963.25283248,0.00041808
18372970,1735265487,buy,597963.25278247,0.01690000
18372971,1735265487,buy,598107.09263456,0.03550891
18372972,1735265487,buy,598107.09268457,0.01476118
18372973,1735265511,buy,598107.09268456,0.00000810
18372974,1735265527,buy,598107.09268443,0.00040795
18372975,1735265528,sell,597667.63066768,0.00000786
18372976,1735265531,buy,598107.09268427,0.00017722
18372977,1735265538,buy,598107.09268407,0.00082351
